n,topology,strategy,recall,reduction,centrality_corr,edges_gt,edges_ris
100,erdos_renyi,heuristic,0.74235807860262,0.23757575757575755,0.862851022943293,458,3774
100,erdos_renyi,heuristic,0.7717842323651453,0.24828282828282833,0.8576197113715928,482,3721
100,erdos_renyi,logarithmic,0.35281837160751567,0.6264646464646464,0.5535796494331902,479,1849
100,erdos_renyi,logarithmic,0.3422131147540984,0.6226262626262626,0.5783350430838577,488,1868
100,erdos_renyi,logarithmic,0.40842105263157896,0.6266666666666667,0.6472358341349089,475,1848
100,erdos_renyi,logarithmic,0.38144329896907214,0.6252525252525252,0.5955987745252426,485,1855
100,erdos_renyi,logarithmic,0.37915742793791574,0.62989898989899,0.6342414194936389,451,1832
100,erdos_renyi,logarithmic,0.38095238095238093,0.6238383838383839,0.6255317544422102,462,1862
100,erdos_renyi,logarithmic,0.36152219873150104,0.6232323232323232,0.48522298137490627,473,1865
100,erdos_renyi,logarithmic,0.3611111111111111,0.6208080808080808,0.6639454994363215,468,1877
100,erdos_renyi,logarithmic,0.3665943600867679,0.6256565656565656,0.641865999563415,461,1853
100,erdos_renyi,logarithmic,0.3760869565217391,0.6234343434343435,0.5822230496472933,460,1864
100,erdos_renyi,logarithmic,0.3909952606635071,0.6238383838383839,0.730855714545566,422,1862
100,erdos_renyi,logarithmic,0.38235294117647056,0.6212121212121212,0.5505236249681461,442,1875
100,erdos_renyi,logarithmic,0.36961451247165533,0.6258585858585859,0.5886284748149724,441,1852
100,erdos_renyi,logarithmic,0.37149532710280375,0.6240404040404041,0.6678147573673746,428,1861
100,erdos_renyi,logarithmic,0.40829694323144106,0.6202020202020202,0.584342410829153,458,1880
100,erdos_renyi,logarithmic,0.35860655737704916,0.621010101010101,0.556889844245143,488,1876
100,erdos_renyi,logarithmic,0.3787878787878788,0.6242424242424243,0.6486545058449801,462,1860
100,erdos_renyi,logarithmic,0.41244239631336405,0.6256565656565656,0.7189891523127315,434,1853
100,erdos_renyi,logarithmic,0.4035476718403548,0.6206060606060606,0.6899605777457739,451,1878
100,erdos_renyi,logarithmic,0.33406593406593404,0.6246464646464647,0.5757496592329377,455,1858
100,erdos_renyi,logarithmic,0.39278131634819535,0.6218181818181818,0.5941037572670476,471,1872
100,erdos_renyi,logarithmic,0.36923076923076925,0.626060606060606,0.6218324916718526,455,1851
100,erdos_renyi,logarithmic,0.3800813008130081,0.6252525252525252,0.5781593691084689,492,1855
100,erdos_renyi,logarithmic,0.38461538461538464,0.626060606060606,0.675214711691352,455,1851
100,erdos_renyi,logarithmic,0.38949671772428884,0.626060606060606,0.6689890219047807,457,1851
100,erdos_renyi,logarithmic,0.36650485436893204,0.6218181818181818,0.5897787662397376,412,1872
100,erdos_renyi,logarithmic,0.39748953974895396,0.6240404040404041,0.691569423173124,478,1861
100,erdos_renyi,logarithmic,0.35730337078651686,0.6240404040404041,0.6847234030504558,445,1861
100,erdos_renyi,logarithmic,0.4079822616407982,0.6242424242424243,0.6687447428114096,451,1860
100,erdos_renyi,logarithmic,0.36129032258064514,0.6204040404040404,0.47419379584339455,465,1879
100,barabasi_albert,heuristic,0.7684210526315789,0.2404040404040404,0.9777345763112294,475,3760
100,barabasi_albert,heuristic,0.7726315789473684,0.23555555555555552,0.9726149870053817,475,3784
100,barabasi_albert,heuristic,0.7494736842105263,0.24565656565656568,0.9497460653489556,475,3734
100,barabasi_albert,heuristic,0.7642105263157895,0.24424242424242426,0.9731191565455809,475,3741
100,barabasi_albert,heuristic,0.7684210526315789,0.24,0.9738068222066059,475,3762
100,barabasi_albert,heuristic,0.7578947368421053,0.23919191919191918,0.9619599101367494,475,3766
100,barabasi_albert,heuristic,0.7578947368421053,0.24464646464646467,0.9707636052484476,475,3739
100,barabasi_albert,heuristic,0.728421052631579,0.23717171717171714,0.9629975520250542,475,3776
100,barabasi_albert,heuristic,0.7663157894736842,0.241010101010101,0.967085235635484,475,3757
100,barabasi_albert,heuristic,0.7621052631578947,0.23919191919191918,0.9666207586445253,475,3766
100,barabasi_albert,heuristic,0.7705263157894737,0.23878787878787877,0.9756554222445328,475,3768
100,barabasi_albert,heuristic,0.751578947368421,0.23676767676767674,0.9592309606314332,475,3778
100,barabasi_albert,heuristic,0.7789473684210526,0.23818181818181816,0.9689738702703279,475,3771
100,barabasi_albert,heuristic,0.751578947368421,0.24242424242424243,0.967421605205066,475,3750
100,barabasi_albert,heuristic,0.7157894736842105,0.23939393939393938,0.9626892990157934,475,3765
100,barabasi_albert,heuristic,0.7557894736842106,0.24303030303030304,0.9637167487566921,475,3747
100,barabasi_albert,heuristic,0.7410526315789474,0.2402020202020202,0.9648401722397324,475,3761
100,barabasi_albert,heuristic,0.7768421052631579,0.23818181818181816,0.9652674945311601,475,3771
100,barabasi_albert,heuristic,0.7789473684210526,0.2404040404040404,0.9574267012037364,475,3760
100,barabasi_albert,heuristic,0.7768421052631579,0.24282828282828284,0.9832923711811957,475,3748
100,barabasi_albert,heuristic,0.7726315789473684,0.2351515151515151,0.9722340527351055,475,3786
100,barabasi_albert,heuristic,0.7705263157894737,0.23717171717171714,0.9709035598933943,475,3776
100,barabasi_albert,heuristic,0.7663157894736842,0.24,0.9677446680057203,475,3762
100,barabasi_albert,heuristic,0.7726315789473684,0.2345454545454545,0.9742198244780172,475,3789
100,barabasi_albert,heuristic,0.7747368421052632,0.24161616161616162,0.9701790047762833,475,3754
100,barabasi_albert,heuristic,0.7978947368421052,0.24525252525252528,0.9735438544935546,475,3736
100,barabasi_albert,heuristic,0.76,0.24424242424242426,0.9651762270638,475,3741
100,barabasi_albert,heuristic,0.7768421052631579,0.23797979797979796,0.9693894646668476,475,3772
100,barabasi_albert,heuristic,0.7368421052631579,0.23656565656565653,0.9568222211102927,475,3779
100,barabasi_albert,heuristic,0.7368421052631579,0.23595959595959592,0.9733623702565402,475,3782
100,barabasi_albert,logarithmic,0.37894736842105264,0.6276767676767676,0.8732136671863556,475,1843
100,barabasi_albert,logarithmic,0.37894736842105264,0.6242424242424243,0.841607073191233,475,1860
100,barabasi_albert,logarithmic,0.4,0.6236363636363637,0.8992983532446412,475,1863
100,barabasi_albert,logarithmic,0.37894736842105264,0.6222222222222222,0.837797921047513,475,1870
100,barabasi_albert,logarithmic,0.3494736842105263,0.6250505050505051,0.8795748568948644,475,1856
100,barabasi_albert,logarithmic,0.3368421052631579,0.6238383838383839,0.8374619315434506,475,1862
100,barabasi_albert,logarithmic,0.3831578947368421,0.6244444444444445,0.8786045226428623,475,1859
100,barabasi_albert,logarithmic,0.35368421052631577,0.6270707070707071,0.7481808117615562,475,1846
100,barabasi_albert,logarithmic,0.37473684210526315,0.6272727272727272,0.8479227861443868,475,1845
100,barabasi_albert,logarithmic,0.40210526315789474,0.6286868686868687,0.8136368947476499,475,1838
100,barabasi_albert,logarithmic,0.40842105263157896,0.6208080808080808,0.8847282689496189,475,1877
100,barabasi_albert,logarithmic,0.3936842105263158,0.6246464646464647,0.8496943802366362,475,1858
100,barabasi_albert,logarithmic,0.37473684210526315,0.6236363636363637,0.8590064989037511,475,1863
100,barabasi_albert,logarithmic,0.3473684210526316,0.6246464646464647,0.8466913948720586,475,1858
100,barabasi_albert,logarithmic,0.40842105263157896,0.626060606060606,0.9071222662710595,475,1851
100,barabasi_albert,logarithmic,0.37894736842105264,0.6240404040404041,0.8016845508957633,475,1861
100,barabasi_albert,logarithmic,0.4,0.62,0.8577238993608418,475,1881
100,barabasi_albert,logarithmic,0.37684210526315787,0.6252525252525252,0.7820008366021103,475,1855
100,barabasi_albert,logarithmic,0.3873684210526316,0.6256565656565656,0.9025838910593743,475,1853
100,barabasi_albert,logarithmic,0.39789473684210525,0.6246464646464647,0.8692691618958461,475,1858
100,barabasi_albert,logarithmic,0.3873684210526316,0.6240404040404041,0.8576977231187262,475,1861
100,barabasi_albert,logarithmic,0.4,0.62,0.8515746766863441,475,1881
100,barabasi_albert,logarithmic,0.4,0.6242424242424243,0.9143191544258763,475,1860
