n,topology,strategy,recall,reduction,centrality_corr,edges_gt,edges_ris
1750,powerlaw_cluster,logarithmic,0.03823741664472271,0.9615285142530426,0.6019582546373516,8720.1,58875.8
1750,stochastic_block,heuristic,0.03419388518273698,0.9660074818263497,0.0,39192.433333333334,52021.3
1750,stochastic_block,logarithmic,0.038455117527268955,0.9615253777668873,0.0,39239.46666666667,58880.6
1750,watts_strogatz,heuristic,0.03354666666666666,0.9660117073701979,0.059722993159404845,8750.0,52014.833333333336
1750,watts_strogatz,logarithmic,0.038529523809523805,0.9615187127338071,0.05489415569782445,8750.0,58890.8
2000,barabasi_albert,heuristic,0.02423057644110276,0.9761441220610305,0.4940719458924504,9975.0,47687.9
2000,barabasi_albert,logarithmic,0.03355388471177945,0.96628736034684,0.5567732384491181,9975.0,67391.56666666667
2000,erdos_renyi,heuristic,0.023550186729951194,0.9761443888610972,0.15300426328468497,15142.666666666666,47687.36666666667
2000,erdos_renyi,logarithmic,0.033796582618261926,0.9662900783725197,0.18208163022815918,15208.233333333334,67386.13333333333
2000,powerlaw_cluster,heuristic,0.023686931099227607,0.9761400700350175,0.514488167630991,9970.333333333334,47696.0
2000,powerlaw_cluster,logarithmic,0.03340309004551035,0.9662878772719694,0.5876080606518824,9970.1,67390.53333333334
2000,stochastic_block,heuristic,0.023955597481070772,0.9761428714357179,0.15448084203826346,51432.46666666667,47690.4
2000,stochastic_block,logarithmic,0.033686396838467594,0.9662898282474571,0.17585532479300478,51354.566666666666,67386.63333333333
2000,watts_strogatz,heuristic,0.023733333333333332,0.9761468234117058,0.05007003030715847,10000.0,47682.5
2000,watts_strogatz,logarithmic,0.03427,0.9662886776721694,0.06165714106792822,10000.0,67388.93333333333
5000,barabasi_albert,heuristic,0.002362362362362362,0.997601546976062,0.1882922426449324,24975.0,29974.666666666668
5000,barabasi_albert,logarithmic,0.014940273606940275,0.9848576835367074,0.42940880763629596,24975.0,189241.1
5000,erdos_renyi,heuristic,0.0024835749959331555,0.9976014029472561,0.0495276813797584,42555.9,29976.466666666667
5000,erdos_renyi,logarithmic,0.015075837553408068,0.9848582223111289,0.11952864118372379,42524.96666666667,189234.36666666667
5000,powerlaw_cluster,heuristic,0.0024777557713288162,0.9976015123024605,0.2024420696837082,24968.766666666666,29975.1
5000,powerlaw_cluster,logarithmic,0.01509514155913337,0.9848576755351071,0.46400673844440754,24968.333333333332,189241.2
5000,stochastic_block,heuristic,0.002390970360522214,0.9976014589584583,0.04253644152559343,321586.8333333333,29975.766666666666
5000,stochastic_block,logarithmic,0.015175039073912433,0.9848577528839101,0.11815501535168087,321507.26666666666,189240.23333333334
5000,watts_strogatz,heuristic,0.0024346666666666666,0.9976014802960591,0.018095683285257954,25000.0,29975.5
5000,watts_strogatz,logarithmic,0.015297333333333333,0.9848583823431354,0.04098959779274274,25000.0,189232.36666666667
10000,barabasi_albert,heuristic,0.0012046023011505753,0.9988003627029369,0.13959122651194047,49975.0,59975.86666666667
10000,barabasi_albert,logarithmic,0.008216775054193763,0.9918166223288996,0.3417627481609696,49975.0,409127.9666666667
10000,erdos_renyi,heuristic,0.0011845490136203594,0.9988003740374037,0.03414164749930317,92039.8,59975.3
10000,erdos_renyi,logarithmic,0.008202411818107113,0.9918165556555656,0.0902861456945577,92006.36666666667,409131.3
10000,powerlaw_cluster,heuristic,0.0012534676361572843,0.9988003813714705,0.16382115426046315,49968.03333333333,59974.933333333334
10000,powerlaw_cluster,logarithmic,0.008254696906359112,0.9918167763443011,0.3800669798358716,49967.5,409120.26666666666
10000,stochastic_block,heuristic,0.0012079776135444705,0.9988003700370036,0.022129527390285567,1188088.1,59975.5
10000,stochastic_block,logarithmic,0.008182245794105068,0.9918167763443011,0.06571013252481349,1188078.3,409120.26666666666
10000,watts_strogatz,heuristic,0.00119,0.9988003347001367,0.013782607334491567,50000.0,59977.26666666667
10000,watts_strogatz,logarithmic,0.008222666666666666,0.9918169050238357,0.02730507914958682,50000.0,409113.8333333333
